step	loss
0	771.781494140625
1	658.7993774414062
2	1581.106689453125
3	2354.814453125
4	137.53475952148438
5	3489.48193359375
6	1382.537841796875
7	2573.3544921875
8	742.403564453125
9	1563.4156494140625
